Company,Crunchbase,Industries,Location,Employee Count,Founded Date,Investor Count,Lead Investor Count,Select Investors,Funding,Round
Metawave,https://www.crunchbase.com/organization/metawave-corporation,"Artificial Intelligence, Automotive, Communications Infrastructure, Telecommunications, Wireless","Palo Alto, California, United States",Nov-50,4-Jan-17,18.0,4.0,"Khosla Ventures, Mirae Asset Capital, DENSO, BOLD Capital Partners, Autotech Ventures",$17 ,3.0
NavVis,https://www.crunchbase.com/organization/navvis,"Indoor Positioning, Information Technology, Location Based Services, Navigation, Software","Munich, Bayern, Germany",101-250,2013,7.0,5.0,"DIGITAL+ PARTNERS, MIG Fonds, BayBG, Target Partners, Kozo Keikaku Engineering",$44 ,4.0
Nnaisense,https://www.crunchbase.com/organization/nnaisense,"Artificial Intelligence, Industrial Automation, Machine Learning","Lugano, Ticino, Switzerland",Nov-50,14-Sep,5.0,2.0,"Samsung Ventures, Alma Mundi Ventures, Repsol Energy Ventures, Schott",,2.0
Noodle.ai,https://www.crunchbase.com/organization/noodle-analytics-inc-noodle-ai,"Artificial Intelligence, Big Data, Machine Learning, Supply Chain Management","San Francisco, California, United States",101-250,14-Mar-16,2.0,2.0,"TPG Growth, Dell Technologies Capital",$51 ,3.0
NotCo,,Ingredient discovery,"Santiago de Chile, Santiago, Chile",,,,,"SOSV, Kaszek Ventures, Bezos Expeditions, IndieBio, Maya Capital",$33 ,
Obsidian Security,https://www.crunchbase.com/organization/obsidian-security,"Computer, Cyber Security, Network Security","Newport Beach, California, United States",Nov-50,2017,3.0,2.0,"Google Ventures, Greylock Partners, Wing Venture Capital",$30 ,2.0
Onfido,https://www.crunchbase.com/organization/onfido,"Artificial Intelligence, Identity Management, Information Technology, Security, Software","London, England, United Kingdom",251-500,12-Jul,33.0,9.0,"Salesforce Ventures, M12, IDInvest Partners, SBI Group, CreditEase Fintech Investment Fund",$110 ,10.0
Osaro,https://www.crunchbase.com/organization/osaro,"Artificial Intelligence, Machine Learning, Robotics, Software","San Francisco, California, United States",Nov-50,2015,23.0,1.0,"Founders Fund, AME Cloud Ventures, Pegasus Tech Ventures, Peter Thiel, Alpha Intelligence Capital",$30 ,4.0
OWKIN,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Clinical Trials, Software","New York, New York, United States",51-100,16-Sep,12.0,3.0,"Google Ventures, F-Prime Capital, Eight Roads Ventures, Cathay Innovation, Plug and Play Ventures",$35 ,4.0
PAIGE.AI,,Pathology,"New York, New York, United States",,,,,"Breyer Capital, Memorial Sloan Kettering Cancer Center, HealthCare Ventures, Kenan Turnacioglu",$70 ,
PerceptiLabs,https://www.crunchbase.com/organization/perceptilabs,"Artificial Intelligence, Web Development","Lidingo, Stockholms Lan, Sweden",10-Jan,2017,1.0,1.0,"Luminar Ventures, Brightly Ventures, STING Accelerator, Henrik von Schoultz, Hans Victor",$2 ,1.0
Primer,https://www.crunchbase.com/organization/primer-7cbe,"Artificial Intelligence, Content, Machine Learning","San Francisco, California, United States",51-100,2015,11.0,3.0,"Data Collective, Lux Capital, Crosslink Capital, AME Cloud Ventures, Bloomberg Beta",$55 ,5.0
ProteinQure,https://www.crunchbase.com/organization/proteinqure,Biotechnology,"Toronto, Ontario, Canada",Nov-50,17-Oct,8.0,1.0,"8VC, Felicis Ventures, Global Founders Capital, Inovia Capital, Golden Ventures",$4 ,3.0
Razor Labs,https://www.crunchbase.com/organization/razor-labs,"Artificial Intelligence, Computer Vision, Industrial Automation, Machine Learning","Tel Aviv, Tel Aviv, Israel",101-250,2016,,,BIRD Foundation,,
Recursion Pharmaceuticals,https://www.crunchbase.com/organization/recursion-pharmaceuticals,"Artificial Intelligence, Bioinformatics, Biotechnology, Pharmaceutical, Wellness","Salt Lake City, Utah, United States",101-250,5-Nov-13,21.0,6.0,"Baillie Gifford & Co., Data Collective, Lux Capital, Menlo Ventures, Felicis Ventures",$265 ,12.0
Replica,https://www.crunchbase.com/organization/replica,"Computer, Software, Transportation","San Francisco, California, United States",Nov-50,2019,5.0,1.0,"Innovation Endeavors, Sidewalk Labs, Revolution Rise Of The Rest Seed Fund, Firebrand Ventures",$11 ,2.0
Second Spectrum,https://www.crunchbase.com/organization/second-spectrum,"Augmented Reality, Big Data, Computer Vision, Machine Learning, Sports","Los Angeles, California, United States",51-100,2013,2.0,1.0,August Capital,$20 ,3.0
SentinelOne,https://www.crunchbase.com/organization/sentinel,"Computer, Cyber Security, Network Security, Security","Mountain View, California, United States",501-1000,2013,17.0,5.0,"Tiger Global Management, Accel, Insight Partners, Redpoint Ventures, Data Collective",$430 ,7.0
Sherpa,https://www.crunchbase.com/organization/sherpa-assistant,"Artificial Intelligence, Internet of Things, Machine Learning, Mobile, Mobile Apps, Natural Language Processing, Predictive Analytics, Virtual Assistant","Bilbao, Pais Vasco, Spain",51-100,2012,4.0,2.0,"Horizon 2020, Alma Mundi Ventures, Alex Cruz",$17 ,5.0
Shield AI,https://www.crunchbase.com/organization/shield-ai,"Artificial Intelligence, Machine Learning, National Security, Robotics","San Diego, California, United States",101-250,28-May-15,8.0,3.0,"Andreessen Horowitz, Homebrew, Breyer Capital",$45 ,5.0
Snyk,https://www.crunchbase.com/organization/snyk,"Developer Tools, Security, Software","London, England, United Kingdom",101-250,7-Jul-15,16.0,4.0,"Accel, Google Ventures, Tiger Global Management, Coatue Management, Salesforce Ventures",$252 ,6.0
SparkCognition,https://www.crunchbase.com/organization/sparkcognition,"Analytics, Artificial Intelligence, Cyber Security, Machine Learning, Software","Austin, Texas, United States",101-250,2013,26.0,4.0,"Temasek, MSD Capital, Boeing HorizonX, March Capital Partners, Verizon Ventures",$168 ,6.0
Squirrel AI Learning,https://www.crunchbase.com/organization/yixue-squirrel-ai,"Artificial Intelligence, E-Learning, EdTech, Education, Internet","Shanghai, Shanghai, China",1001-5000,2014,8.0,,"SIG Asia Investments, NGP Capital, CASH Capital Investment Management, New Oriental Education & Technology, QingSong Fund",$45 ,3.0
Standard Cognition,https://www.crunchbase.com/organization/standard-cognition,"Artificial Intelligence, Retail, Retail Technology, Shopping","San Francisco, California, United States",101-250,2017,9.0,3.0,"Y Combinator, CRV, Initialized Capital, EQT Ventures, Draper Associates",$86 ,5.0
Subtle Medical,https://www.crunchbase.com/organization/subtle-medical,"Artificial Intelligence, Computer Vision, Enterprise Software, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device, Pharmaceutical","Menlo Park, California, United States",Nov-50,1-Aug-17,9.0,,"Bessemer Venture Partners, Data Collective, Baidu Ventures, ZhenFund, Breyer Capital",$8 ,2.0
Synapse Technology,https://www.crunchbase.com/organization/synapse-technology-corporation,"Artificial Intelligence, Computer Vision, Information Technology, Machine Learning","Palo Alto, California, United States",Nov-50,2016,10.0,3.0,"Founders Fund, 8VC, Village Global, Xfund",$6 ,7.0
Synthesia Technologies,https://www.crunchbase.com/organization/synthesia,"Artificial Intelligence, Video","London, England, United Kingdom",Nov-50,1-Apr-17,7.0,1.0,"Government of UK, Taavet Hinrikus, Seedcamp, MMC Ventures, Mark Cuban",$3 ,2.0
Syntiant,https://www.crunchbase.com/organization/syntiant,"Artificial Intelligence, Machine Learning, Semiconductor","Irvine, California, United States",,2017,12.0,2.0,"Intel Capital, M12, Sunstone Capital, Robert Bosch Venture Capital, Amazon Alexa Fund",$30 ,3.0
Tachyus,https://www.crunchbase.com/organization/tachyus,"Analytics, Big Data, Data Visualization, Enterprise Software, Oil and Gas, Predictive Analytics, SaaS","San Mateo, California, United States",Nov-50,2013,15.0,3.0,"Founders Fund, Caffeinated Capital, Formation 8, Cota Capital, StartX",$41 ,5.0
The Yes,,E-commerce solutions,"San Francisco, California, United States",,,,,"New Enterprise Associates, Bain Capital Ventures, Forerunner Ventures, True Ventures, Comcast Ventures",$30 ,
Tractable,https://www.crunchbase.com/organization/tractable,"Artificial Intelligence, Insurance, Machine Learning, Software","London, England, United Kingdom",101-250,2014,16.0,5.0,"Insight Partners, Ignition Partners, Zetta Venture Partners, Entrepreneur First",$35 ,5.0
TuSimple,https://www.crunchbase.com/organization/tusimple-llc,"Artificial Intelligence, Autonomous Vehicles, Transportation","San Diego, California, United States",251-500,2015,14.0,3.0,"CDH Investments, Sina Weibo Fund, Composite Capital Partners, NVIDIA GPU Ventures, UPS Strategic Enterprise Fund",$297 ,6.0
Viz.ai,https://www.crunchbase.com/organization/viz,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical","San Francisco, California, United States",51-100,2016,10.0,4.0,"Google Ventures, Kleiner Perkins Caufield & Byers, Greenoaks Capital Management, Threshold Ventures, CRV",$79 ,5.0
Voyage,https://www.crunchbase.com/organization/voyage,"Automotive, Autonomous Vehicles, Leisure, Public Transportation, Robotics","Palo Alto, California, United States",51-100,17-Feb,8.0,1.0,"Khosla Ventures, CRV, Franklin Templeton, Initialized Capital, SV Angel",$54 ,2.0
WellSaid Labs,,Synthetic voice,"Seattle, Washington, United States",,,,,Allen Institute for Artificial Intelligence,,
Xanadu,https://www.crunchbase.com/organization/xanadu-2,"Artificial Intelligence, Big Data, Hardware, Quantum Computing, Software","Toronto, Ontario, Canada",51-100,19-Sep-16,10.0,3.0,"Silicon Valley Bank, OMERS Ventures, Real Ventures, Georgian Partners, Sustainable Development Technology Canada",$34 ,5.0
Zebra Medical Vision,https://www.crunchbase.com/organization/zebra-medical-vision,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical","Shefayim, HaMerkaz, Israel",Nov-50,2014,13.0,3.0,"Khosla Ventures, OurCrowd, Johnson & Johnson Innovation, Marc Benioff, Dolby Family Ventures",$50 ,3.0
Zesty.ai,https://www.crunchbase.com/organization/zesty-ai,"Analytics, Artificial Intelligence, InsurTech, Real Estate, Software","Oakland, California, United States",Nov-50,2015,2.0,1.0,"Plug and Play Ventures, Zurich Insurance Group, Plug and Play Accelerator, Blamar",$13 ,1.0
Zhuiyi Technology,https://www.crunchbase.com/organization/zhuiyi-technology,"Artificial Intelligence, Machine Learning, Software","Shenzhen, Guangdong, China",251-500,2016,5.0,4.0,"Morningside Venture Capital, GGV Capital, Gaorong Capital, China Merchants Capital, Sinovation Ventures",$62 ,3.0
